codi_districte,nom_districte,codi_barri,nom_barri,import_euros
1,Ciutat Vella,1,El Raval,13828.66
1,Ciutat Vella,1,El Raval,11247.3
1,Ciutat Vella,1,El Raval,11638.83
1,Ciutat Vella,1,El Raval,13688.8
1,Ciutat Vella,1,El Raval,12037.71
1,Ciutat Vella,1,El Raval,12705.98
1,Ciutat Vella,1,El Raval,12374.65
1,Ciutat Vella,1,El Raval,9469.15
1,Ciutat Vella,1,El Raval,12434.59
1,Ciutat Vella,1,El Raval,11079.75
1,Ciutat Vella,1,El Raval,10053.43
1,Ciutat Vella,1,El Raval,13224.75
1,Ciutat Vella,1,El Raval,13394.05
1,Ciutat Vella,1,El Raval,12548.04
1,Ciutat Vella,1,El Raval,13049.12
1,Ciutat Vella,1,El Raval,12046.93
1,Ciutat Vella,1,El Raval,11267.42
1,Ciutat Vella,1,El Raval,12243.27
1,Ciutat Vella,1,El Raval,12026.21
1,Ciutat Vella,1,El Raval,18512.74
1,Ciutat Vella,1,El Raval,18061.4
1,Ciutat Vella,2,El Barri Gòtic,18413.03
1,Ciutat Vella,2,El Barri Gòtic,18922.11
1,Ciutat Vella,2,El Barri Gòtic,17734.04
1,Ciutat Vella,2,El Barri Gòtic,18527.06
1,Ciutat Vella,2,El Barri Gòtic,16857.24
1,Ciutat Vella,2,El Barri Gòtic,15656.09
1,Ciutat Vella,2,El Barri Gòtic,14398.84
1,Ciutat Vella,2,El Barri Gòtic,14058.77
1,Ciutat Vella,2,El Barri Gòtic,14545.08
1,Ciutat Vella,3,La Barceloneta,19111.84
1,Ciutat Vella,3,La Barceloneta,16234.42
1,Ciutat Vella,3,La Barceloneta,16642.38
1,Ciutat Vella,3,La Barceloneta,16353.61
1,Ciutat Vella,3,La Barceloneta,16821.22
1,Ciutat Vella,3,La Barceloneta,16657.65
1,Ciutat Vella,3,La Barceloneta,15170.19
1,Ciutat Vella,3,La Barceloneta,16748.6
1,Ciutat Vella,3,La Barceloneta,16612.03
1,Ciutat Vella,3,La Barceloneta,15113.2
1,Ciutat Vella,3,La Barceloneta,16901.41
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",22829.99
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",20491.94
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",17998.21
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",15645.74
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",16839.57
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",13512.75
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",16188.65
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",17116.65
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",15107.48
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",22374.82
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",15669.94
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",17143.82
1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",21583.67
2,Eixample,5,El Fort Pienc,21928.54
2,Eixample,5,El Fort Pienc,22801.09
2,Eixample,5,El Fort Pienc,25777.79
2,Eixample,5,El Fort Pienc,18291.19
2,Eixample,5,El Fort Pienc,24810.48
2,Eixample,5,El Fort Pienc,25180.0
2,Eixample,5,El Fort Pienc,26330.31
2,Eixample,5,El Fort Pienc,24073.25
2,Eixample,5,El Fort Pienc,23731.07
2,Eixample,5,El Fort Pienc,22127.45
2,Eixample,5,El Fort Pienc,23439.49
2,Eixample,5,El Fort Pienc,19259.12
2,Eixample,5,El Fort Pienc,20566.71
2,Eixample,5,El Fort Pienc,18882.12
2,Eixample,5,El Fort Pienc,19156.04
2,Eixample,5,El Fort Pienc,24821.46
2,Eixample,5,El Fort Pienc,24325.44
2,Eixample,5,El Fort Pienc,24135.86
2,Eixample,5,El Fort Pienc,22695.88
2,Eixample,5,El Fort Pienc,20450.06
2,Eixample,6,La Sagrada Família,21971.61
2,Eixample,6,La Sagrada Família,22243.23
2,Eixample,6,La Sagrada Família,23608.52
2,Eixample,6,La Sagrada Família,21253.82
2,Eixample,6,La Sagrada Família,21477.76
2,Eixample,6,La Sagrada Família,22774.15
2,Eixample,6,La Sagrada Família,22165.8
2,Eixample,6,La Sagrada Família,22123.51
2,Eixample,6,La Sagrada Família,23315.37
2,Eixample,6,La Sagrada Família,18615.55
2,Eixample,6,La Sagrada Família,23425.54
2,Eixample,6,La Sagrada Família,22772.21
2,Eixample,6,La Sagrada Família,21740.5
2,Eixample,6,La Sagrada Família,19856.41
2,Eixample,6,La Sagrada Família,22602.39
2,Eixample,6,La Sagrada Família,24541.15
2,Eixample,6,La Sagrada Família,24283.19
2,Eixample,6,La Sagrada Família,25398.24
2,Eixample,6,La Sagrada Família,21753.29
2,Eixample,6,La Sagrada Família,20145.2
2,Eixample,6,La Sagrada Família,22128.98
2,Eixample,6,La Sagrada Família,25001.54
2,Eixample,6,La Sagrada Família,23462.59
2,Eixample,6,La Sagrada Família,19517.25
2,Eixample,6,La Sagrada Família,23127.56
2,Eixample,6,La Sagrada Família,20739.87
2,Eixample,6,La Sagrada Família,21447.64
2,Eixample,6,La Sagrada Família,20685.52
2,Eixample,6,La Sagrada Família,20693.82
2,Eixample,6,La Sagrada Família,22263.44
2,Eixample,6,La Sagrada Família,19715.82
2,Eixample,6,La Sagrada Família,23787.6
2,Eixample,6,La Sagrada Família,24240.71
2,Eixample,6,La Sagrada Família,22513.3
2,Eixample,7,La Dreta De L'Eixample,23720.08
2,Eixample,7,La Dreta De L'Eixample,24468.82
2,Eixample,7,La Dreta De L'Eixample,26765.67
2,Eixample,7,La Dreta De L'Eixample,27273.38
2,Eixample,7,La Dreta De L'Eixample,25535.22
2,Eixample,7,La Dreta De L'Eixample,25787.2
2,Eixample,7,La Dreta De L'Eixample,24403.74
2,Eixample,7,La Dreta De L'Eixample,27970.37
2,Eixample,7,La Dreta De L'Eixample,33053.14
2,Eixample,7,La Dreta De L'Eixample,30871.77
2,Eixample,7,La Dreta De L'Eixample,25679.09
2,Eixample,7,La Dreta De L'Eixample,25018.1
2,Eixample,7,La Dreta De L'Eixample,22655.61
2,Eixample,7,La Dreta De L'Eixample,22475.87
2,Eixample,7,La Dreta De L'Eixample,26947.31
2,Eixample,7,La Dreta De L'Eixample,29435.69
2,Eixample,7,La Dreta De L'Eixample,29421.84
2,Eixample,7,La Dreta De L'Eixample,32190.12
2,Eixample,7,La Dreta De L'Eixample,28860.3
2,Eixample,7,La Dreta De L'Eixample,27984.21
2,Eixample,7,La Dreta De L'Eixample,27180.13
2,Eixample,7,La Dreta De L'Eixample,28871.74
2,Eixample,7,La Dreta De L'Eixample,25367.36
2,Eixample,7,La Dreta De L'Eixample,28109.52
2,Eixample,7,La Dreta De L'Eixample,31450.25
2,Eixample,7,La Dreta De L'Eixample,28634.46
2,Eixample,7,La Dreta De L'Eixample,29273.94
2,Eixample,7,La Dreta De L'Eixample,28784.01
2,Eixample,7,La Dreta De L'Eixample,30410.0
2,Eixample,8,L'Antiga Esquerra De L'Eixample,26707.27
2,Eixample,8,L'Antiga Esquerra De L'Eixample,28386.48
2,Eixample,8,L'Antiga Esquerra De L'Eixample,29678.41
2,Eixample,8,L'Antiga Esquerra De L'Eixample,27611.14
2,Eixample,8,L'Antiga Esquerra De L'Eixample,29474.42
2,Eixample,8,L'Antiga Esquerra De L'Eixample,28107.41
2,Eixample,8,L'Antiga Esquerra De L'Eixample,23714.75
2,Eixample,8,L'Antiga Esquerra De L'Eixample,26138.28
2,Eixample,8,L'Antiga Esquerra De L'Eixample,23752.46
2,Eixample,8,L'Antiga Esquerra De L'Eixample,26264.39
2,Eixample,8,L'Antiga Esquerra De L'Eixample,25787.66
2,Eixample,8,L'Antiga Esquerra De L'Eixample,24715.61
2,Eixample,8,L'Antiga Esquerra De L'Eixample,24278.65
2,Eixample,8,L'Antiga Esquerra De L'Eixample,23317.72
2,Eixample,8,L'Antiga Esquerra De L'Eixample,24627.24
2,Eixample,8,L'Antiga Esquerra De L'Eixample,26706.29
2,Eixample,8,L'Antiga Esquerra De L'Eixample,26367.07
2,Eixample,8,L'Antiga Esquerra De L'Eixample,24508.18
2,Eixample,8,L'Antiga Esquerra De L'Eixample,28632.31
2,Eixample,8,L'Antiga Esquerra De L'Eixample,23044.45
2,Eixample,8,L'Antiga Esquerra De L'Eixample,27506.16
2,Eixample,8,L'Antiga Esquerra De L'Eixample,23047.36
2,Eixample,8,L'Antiga Esquerra De L'Eixample,28531.46
2,Eixample,8,L'Antiga Esquerra De L'Eixample,27748.4
2,Eixample,8,L'Antiga Esquerra De L'Eixample,29156.53
2,Eixample,8,L'Antiga Esquerra De L'Eixample,31254.49
2,Eixample,9,La Nova Esquerra De L'Eixample,24963.53
2,Eixample,9,La Nova Esquerra De L'Eixample,25499.02
2,Eixample,9,La Nova Esquerra De L'Eixample,31414.66
2,Eixample,9,La Nova Esquerra De L'Eixample,28553.28
2,Eixample,9,La Nova Esquerra De L'Eixample,24741.14
2,Eixample,9,La Nova Esquerra De L'Eixample,24182.1
2,Eixample,9,La Nova Esquerra De L'Eixample,29580.54
2,Eixample,9,La Nova Esquerra De L'Eixample,24631.45
2,Eixample,9,La Nova Esquerra De L'Eixample,27859.3
2,Eixample,9,La Nova Esquerra De L'Eixample,26424.08
2,Eixample,9,La Nova Esquerra De L'Eixample,25704.02
2,Eixample,9,La Nova Esquerra De L'Eixample,26605.91
2,Eixample,9,La Nova Esquerra De L'Eixample,27687.78
